URL,Ubicación,Precio ARS,Precio USD,Expensas,Sup. cubierta [m²],Dormitorios,Antiguedad [años],Baños,Ambientes,Cocheras,Estado,Disposición,Orientación,Antigüedad [años],Sup. terreno [m²],Toilettes,Sup. total [m²],Plantas,Apto profesional,Tipo de cochera,Tipo de cobertura,Tipo de coche,Tipo de acceso,Permite mascota,Longitud del frente,Longitud del fondo,FOT,Altura Techo,Seguridad,Tipo de local,En Edificio,Galería/Shopping,Tipo de Baño,Sup. descubierta [m²],Agua corriente,Superficie Total,Longitud del Frente,Longitud del Fondo,Tipo de Terreno,Sup. Total,Superficie cubierta,Cantidad baños,Sup. Cubierta,Pileta,Toilletes,Habitaciones,Descripción
https://www.argenprop.com/casa-en-alquiler-en-boca-raton-5-ambientes--12124315,Casa en venta en Boca Ratón Country Life -,,15000,,320.0,4,,2.0,5,2.0,,,,15,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/local-en-alquiler-en-palermo--12638954,Bulnes  1700,300000,,,,,,2.0,,,,,,,,,280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/cochera-en-alquiler-en-palermo-viejo--12794457,Bulnes 1230,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-1-ambiente--12748587,Jose Hernandez 2300 y Av Cabildo,,650,,30.0,,0.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--12955761,ALVEAR AV. 1800,,1350,130000,130.0,2,70.0,1.0,3,1.0,Excelente,Contra frente,Sudoeste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-pilar-del-este-santa-guadalupe-4-ambientes--12788428,Santa Guadalupe,,1000,,133.0,3,,2.0,4,1.0,,,,A Estrenar,731.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--13731174,Tagle  al 2500,,2600,124800,187.0,3,50.0,2.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-river-4-ambientes--14283406,Betbeder al 1200,,1500,,165.0,3,,2.0,4,1.0,,,,40,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-palermo-chico-10-ambientes--13188251,Eduardo Costa  al 3000,,7500,,950.0,5,,,10,5.0,,,,A Estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-san-cristobal-2-ambientes--14143873,Combate de los Pozos  al 1000,,360,,38.0,1,6.0,1.0,2,,,,,,,,,,Apto profesi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14027514,Francisco De Vittoria 2300,,2100,100000,160.0,3,46.0,3.0,4,1.0,Muy Bueno,Frente,Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-highland-park-country-club-6-ambientes--13168344,Highland Park,,5000,,780.0,5,,8.0,6,4.0,Excelente,,Norte,1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-estancias-del-pilar-5-ambientes--13118974,Estancias Del Pilar,,2500,,360.0,4,,3.0,5,3.0,,,,5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/oficina-en-alquiler-en-recoleta-6-ambientes--14280348,Carlos Pellegrini al 900,,700,150000,136.0,,,2.0,6,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-2-ambientes--14416435,Av. Combatientes de Malvinas al 3900,,400,,46.0,1,0.0,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--8314240,Marcelo T De Alvear  1600,,1900,,50.0,1,,1.0,2,,,Frente,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--14433050,"Hidalgo 800, Piso 1",305000,,24957,53.0,1,8.0,1.0,2,,Excelente,Frente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/local-en-alquiler-en-belgrano-r--12762193,Av. Cramer 2500,800000,,,,,,,,,,,,A Estrenar,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-martinez-4-ambientes--14118701,Sarmiento 100,,1800,67800,131.0,3,30.0,3.0,4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-3-ambientes--13948672,"Av F De Olazabal 5100, Piso 1",300000,,30000,55.0,2,,1.0,3,,,Contra frente,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/local-en-alquiler-en-belgrano--12736149,Estomba 2500,,350,,,,,1.0,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-martinez-7-ambientes--14434682,Vicente Fidel López 100,,1900,101276,273.0,4,40.0,4.0,7,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-2-ambientes--14386207,"Blanco Encalada 4900, Piso 4",380000,,36000,41.0,1,5.0,1.0,2,,Excelente,Contra frente,Norte,,,,,,Apto profesi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-palermo-chico-4-ambientes--12743870,San Martin De Tours al 2800,,2000,205000,238.0,3,40.0,2.0,4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-martinez-vias-libertador-3-ambientes--13738582,"Avenida Libertador 12950, 3º piso 26",,1200,,142.0,2,12.0,2.0,3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-martinez-4-ambientes--12822733,VELEZ SARSFIELD  2054 - PB D,,2400,,104.0,3,0.0,2.0,4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-los-jazmines-5-ambientes--12157610,Los Jazmines,,2000,,180.0,3,,4.0,5,4.0,,,,A Estrenar,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-estancias-del-pilar-6-ambientes--12140750,Estancias del Pilar,,2500,,300.0,4,,3.0,6,3.0,,,,A Estrenar,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-general-paz-2-ambientes--14321170,"Bahía Blanca 300, Piso 7",170000,,25370,39.0,1,9.0,1.0,2,,Excelente,Frente,Oeste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-martinez-vias-santa-fe-3-ambientes--4015129,"Gral Alvear 200, Piso 1",250000,,38000,106.0,2,30.0,2.0,3,,Muy Bueno,Frente,,,,,,,Apto profesi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/cochera-en-alquiler-en-recoleta--12502724,"Dr L Pasteur 700, Piso P.B",20000,,,,,,,,,,,,,,,,,,Fija,Descubierta,Mediano,Horizontal,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-san-isidro-5-ambientes--14122856,Acassuso 800,,2300,,241.0,4,,2.0,5,1.0,,,Este,11,200.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-countries-y-barrios-cerrados-en-pilar-7-ambientes--13094868,Casa en venta y alquiler anual de estilo colonial en Highland Park,,2500,,587.0,4,,6.0,7,2.0,,,,30,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-caballito-3-ambientes--12622775,"Av. Independencia 4100, Piso 5",,950,21000,67.0,2,0.0,2.0,3,1.0,Excelente,Contra Frente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-recoleta--11634571,Av Pres Manuel Quintana 500,,2500,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-golf-10-ambientes--14235504,AVELLANEDA al 3000,,4500,,344.0,4,,4.0,10,2.0,,,,A Estrenar,746.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-martinez-4-ambientes--14421130,Arenales 1800,,1300,70000,115.0,3,,2.0,4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-martinez-vias-santa-fe-5-ambientes--13179799,Arenales 1800,,1300,100,120.0,4,20.0,3.0,5,1.0,Excelente,Frente,Este,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
