URL,Ubicación,Precio,Sup. cubierta,Antiguedad,Baños,Ambientes,Disposición,Expensas,Dormitorios,Cocheras,Estado,Orientación,Apto profesional,Toilettes,Permite mascota,Antigüedad,Sup. terreno,Toilletes,Tipo de Baño,Tipo de local,Plantas,En Edificio,Sup. total,Seguridad,Galería/Shopping,Sup. descubierta,Tipo de Terreno,Sup. Total,Longitud del Frente,Longitud del Fondo,Superficie Total,Sup. Construible,Longitud del frente,Longitud del fondo,Superficie cubierta,Cantidad baños,Agua corriente,Tipo de cochera,Tipo de cobertura,Tipo de coche,Tipo de acceso,Altura Techo,FOT,Habitaciones,Descripción
https://www.argenprop.com/departamento-en-alquiler-en-balvanera-3-ambientes--6553349,"24 De Noviembre 400, Piso PB",$ 280.000,65  m² Cubierta,90 años,1 baño,3 ambientes,Contra Frente,No se encontraron expensas,2 dormitorios,,Excelente,,Apto profesi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-balvanera-3-ambientes--12528595,Av Entre Rios 600,$ 250.000,70  m² Cubierta,,1 baño,3 ambientes,,No se encontraron expensas,2 dormitorios,,Excelente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-balvanera-3-ambientes--13110104,"PASO 700, Piso 8",USD 1.000,115  m² Cubierta,,2 baños,3 ambientes,Frente,+ $50.000 expensas,2 dormitorios,1 cocheras,Muy Bueno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-balvanera-1-ambiente--13512421,Hipolito Yrigoyen  al 3100,USD 600,41  m² Cubierta,A Estrenar,1 baño,Monoambiente,,+ $10.000 expensas,,1 cochera,,,Apto profesi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-balvanera-2-ambientes--14071431,Tomas Manuel de Anchorena 600 - Alquiler temporario,USD 450,40  m² Cubierta,A Estrenar,1 baño,2 ambientes,,No se encontraron expensas,1 dormitorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-balvanera-4-ambientes--12661038,"Av B Rivadavia 2200, Piso 10",$ 300.000,77  m² Cubierta,44 años,2 baños,4 ambientes,Contra frente,+ $17.377 expensas,3 dormitorios,,Bueno,Sudoeste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-balvanera-5-ambientes--12668038,"Avenida Belgrano 2400, Piso 1",USD 700,96  m² Cubierta,45 años,2 baños,5 ambientes,Frente,+ $58.000 expensas,4 dormitorios,2 cocheras,Bueno,Sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-balvanera-2-ambientes--13134659,Paso 100,$ 160.000,34  m² Cubierta,49 años,1 baño,2 ambientes,,+ $12.215 expensas,1 dormitorio,,,Noroeste,Apto profesi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-balvanera-1-ambiente--13808805,VIAMONTE 2100,$ 150.000,,8 años,1 baño,Monoambiente,Frente,+ $25.000 expensas,1 dormitorio,,Excelente,Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-balvanera-4-ambientes--14106437,Moreno 2151,USD 1.000,100  m² Cubierta,20 años,1 baño,4 ambientes,,+ $25.000 expensas,2 dormitorios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-balvanera-2-ambientes--14121572,Pres Jose Evaristo Uriburu 500,USD 300,34  m² Cubierta,50 años,1 baño,2 ambientes,,No se encontraron expensas,1 dormitorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-balvanera-1-ambiente--14126678,Moreno 2151 Noveno piso,USD 450,27  m² Cubierta,20 años,1 baño,Monoambiente,,+ $25.000 expensas,1 dormitorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-balvanera-1-ambiente--14143693,Av. de Mayo al 1200,USD 300,25  m² Cubierta,40 años,1 baño,Monoambiente,,No se encontraron expensas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-balvanera-2-ambientes--13435214,Castelli 200,$ 200.000,40  m² Cubierta,1993 años,1 baño,2 ambientes,,+ $15.000 expensas,1 dormitorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-balvanera-4-ambientes--14276815,Av. Cordoba  al 1800,USD 500,,40 años,1 baño,4 ambientes,,+ $42.000 expensas,3 dormitorios,,,,Apto profesi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-balvanera-2-ambientes--14027038,Junín 200,$ 250.000,55  m² Cubierta,75 años,1 baño,2 ambientes,,+ $13.700 expensas,1 dormitorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-r--14309236,"La Pampa 1300, Piso 1",USD 400,30  m² Cubierta,,1 baño,,Contra Frente,+ $15.000 expensas,,,Muy Bueno,,Apto profesi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--13601395,VUELTA DE OBLIGADO  1700,USD 2.500,,,2 baños,4 ambientes,,+ $120.000 expensas,3 dormitorios,2 cocheras,Excelente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--12773933,Virrey Arredondo  2500,USD 450,21  m² Cubierta,50 años,1 baño,Monoambiente,Frente,No se encontraron expensas,,,Excelente,Oeste,Apto profesi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-c-3-ambientes--14144558,"Ciudad de la Paz 1600, Piso 7",$ 260.000,"77,43  m² Cubierta",64 años,1 baño,3 ambientes,Frente,+ $49.000 expensas,2 dormitorios,,Excelente,,Apto profesi.,1 toilettes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-2-ambientes--13659809,Soldado de la Independencia 900,USD 800,45  m² Cubierta,3 años,2 baños,2 ambientes,,+ $32.000 expensas,1 dormitorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--13519288,Zabala 1700,USD 1.500,160  m² Cubierta,40 años,2 baños,4 ambientes,Frente,No se encontraron expensas,3 dormitorios,1 cocheras,Excelente,Este,,1 toilettes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--14275631,11 De Septiembre 1700,USD 1.200,90  m² Cubierta,30 años,1 baño,4 ambientes,Frente,+ $100.000 expensas,3 dormitorios,1 cocheras,Excelente,Oeste,,1 toilettes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-2-ambientes--14276769,Arce 700,USD 550,40  m² Cubierta,A Estrenar,1 baño,2 ambientes,,No se encontraron expensas,1 dormitorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-3-ambientes--13472228,Arcos 1800,USD 750,55  m² Cubierta,,1 baño,3 ambientes,,No se encontraron expensas,2 dormitorios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--13264066,Cramer  al 1700,USD 3.000,200  m² Cubierta,A Estrenar,4 baños,4 ambientes,,No se encontraron expensas,3 dormitorios,2 cocheras,,,Apto profesi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-barrancas-5-ambientes--11341474,JOSÉ HERNANDEZ  1700,USD 2.500,145  m² Cubierta,40 años,2 baños,5 ambientes,Frente,+ $45.000 expensas,3 dormitorios,1 cocheras,Muy Bueno,Noreste,,1 toilettes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-3-ambientes--13974574,"Jose A Maure 2500, Piso 6",Consultar precio,80  m² Cubierta,A Estrenar,2 baños,3 ambientes,Frente,No se encontraron expensas,2 dormitorios,,Excelente,Este,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-3-ambientes--14177904,Virrey Olaguer y Feliú 2600,USD 700,57  m² Cubierta,,1 baño,3 ambientes,Lateral,+ $26.000 expensas,2 dormitorios,,Excelente,,,1 toilettes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-3-ambientes--14108164,Ortega y Gasset 1600,USD 470,55  m² Cubierta,35 años,1 baño,3 ambientes,,+ $17.800 expensas,2 dormitorios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-4-ambientes--12675949,"Arce  300, Piso 5",USD 3.000,175  m² Cubierta,21 años,4 baños,4 ambientes,,+ $215.000 expensas,3 dormitorios,1 cocheras,Excelente,,,1 toilettes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-5-ambientes--13248912,Cramer  al 1700,USD 3.000,200  m² Cubierta,A Estrenar,4 baños,5 ambientes,,No se encontraron expensas,4 dormitorios,2 cocheras,,,Apto profesi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-c-5-ambientes--9932132,Ciudad de la Paz 1800,$ 345.000,,50 años,1 baño,5 ambientes,Frente,+ $40.000 expensas,3 dormitorios,,Muy Bueno,,Apto profesi.,1 toilettes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-c-3-ambientes--12533426,Vuelta De Obligado 2500,USD 850,90  m² Cubierta,10 años,2 baños,3 ambientes,Frente,+ $25.000 expensas,2 dormitorios,,Excelente,Noreste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--13276789,JOSE HERNANDEZ  al 1600,USD 1.700,160  m² Cubierta,45 años,3 baños,4 ambientes,,+ $130.000 expensas,3 dormitorios,1 cocheras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-r-4-ambientes--13595480,Av de los Incas al 3300,USD 3.000,286  m² Cubierta,20 años,3 baños,4 ambientes,,+ $180.000 expensas,3 dormitorios,2 cocheras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-r-6-ambientes--12971066,Av de los Incas al 3300,USD 3.000,286  m² Cubierta,35 años,3 baños,6 ambientes,,+ $180.000 expensas,4 dormitorios,2 cocheras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-barrancas-6-ambientes--11359197,"Arribeños 1400, Piso 1",USD 1.700,165  m² Cubierta,,3 baños,6 ambientes,Frente,No se encontraron expensas,4 dormitorios,2 cocheras,Muy Bueno,Este,,1 toilettes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-3-ambientes--12759510,"Mendoza 2500, Piso 4y5",USD 1.000,,,2 baños,3 ambientes,Frente,+ $40.000 expensas,2 dormitorios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--10514961,Juramento 3000,$ 300.000,47  m² Cubierta,9 años,1 baño,2 ambientes,Contra frente,+ $73.000 expensas,1 dormitorio,,,,,1 toilettes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-2-ambientes--14108339,Baez Retreat - Espectacular Departamento en Las Cañitas!,USD 1.300,50  m² Cubierta,15 años,1 baño,2 ambientes,,No se encontraron expensas,1 dormitorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--14178330,"Virrey Loreto 2600, Piso 6",$ 1.399,88  m² Cubierta,18 años,3 baños,4 ambientes,Frente,+ $60.000 expensas,3 dormitorios,1 cocheras,Muy Bueno,Este,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
