URL,Ubicación,Precio ARS,Precio USD,Expensas,Sup. cubierta [m²],Dormitorios,Baños,Ambientes,Cocheras,Sup. terreno [m²],Antiguedad [años],Estado
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-3-ambientes--14433087,Ciudad de la Paz 2200,,500.0,38000.0,67.0,2.0,1.0,3.0,,,45.0,Bueno
https://www.argenprop.com/casa-en-alquiler-en-san-marino-4-ambientes--12109559,Funes Hill,,120.0,,240.0,3.0,3.0,4.0,1.0,800.0,10.0,Muy Bueno
https://www.argenprop.com/departamento-en-alquiler-en-martinez-vias-libertador-2-ambientes--13142753,"Av. del Libertador 14230, 1º, Martínez, San Isidro, Buenos Aires, Argentina",,700.0,,52.0,1.0,1.0,2.0,1.0,,12.0,Bueno
https://www.argenprop.com/casa-en-alquiler-en-tigre-3-ambientes--13367201,Av Liniers 1300,400000.0,363.6363636363636,,165.0,2.0,1.0,3.0,2.0,,60.0,Bueno
https://www.argenprop.com/casa-en-alquiler-en-beccar-boating-5-ambientes--12829053,Uriburu al 1000,,10000.0,,605.0,3.0,4.0,5.0,,800.0,5.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-san-isidro-centro-2-ambientes--14397859,CHACABUCO al 600,441000.0,400.90909090909093,14000.0,60.0,1.0,1.0,2.0,1.0,,10.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--14395907,Ciudad de la Paz  al 2900,,700.0,18000.0,48.0,1.0,1.0,2.0,,,12.0,Bueno
https://www.argenprop.com/casa-en-alquiler-en-countries-y-barrios-cerrados-en-pilar-5-ambientes--11997597,ALTOS DE CAMPO GRANDE,,1700.0,,270.0,3.0,2.0,5.0,2.0,860.0,0.0,Bueno
https://www.argenprop.com/casa-en-alquiler-en-nordelta--13344441,Los Alisos al 200,,2200.0,,220.0,4.0,3.0,,2.0,590.0,6.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--13579803,Av. Cramer 2200,,700.0,1.0,52.0,1.0,2.0,2.0,,,0.0,Excelente
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-5-ambientes--14431858,Vidal al 1500,,1500.0,80000.0,128.0,4.0,2.0,5.0,2.0,,33.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-nordelta-2-ambientes--14232439,PUERTO ESCONDIDO - DELTA 8- NORDELTA,,700.0,,55.0,1.0,1.0,2.0,1.0,,5.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-acassuso-4-ambientes--13158584,Intendente  Alfaro al 100,,1400.0,,118.0,3.0,2.0,4.0,1.0,,0.0,Bueno
https://www.argenprop.com/casa-en-alquiler-en-pilar-8-ambientes--11933766,CAMPO CHICO,,1600.0,,500.0,7.0,5.0,8.0,2.0,1.0,0.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-3-ambientes--13312032,Arce  500,,1600.0,,88.0,2.0,2.0,3.0,1.0,,,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-3-ambientes--14367910,AV. LIBERTADOR al 6000,,850.0,,74.0,2.0,1.0,3.0,,,0.0,Bueno
https://www.argenprop.com/terreno-en-alquiler-en-cordoba--12502208,Av Luchesse y ruta E53,,1600.0,,,,1.0,,,,,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-san-isidro-3-ambientes--13308511,Haedo,,1000.0,25600.0,77.0,2.0,1.0,3.0,1.0,,8.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-chico-4-ambientes--14389789,Castañeda 2000,,7500.0,270000.0,200.0,3.0,3.0,4.0,2.0,,6.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-san-isidro-3-ambientes--13100685,Alsina al 400,,1300.0,57300.0,90.0,2.0,2.0,3.0,2.0,,17.0,Bueno
https://www.argenprop.com/casa-en-alquiler-en-galapagos-8-ambientes--13779294,Galapagos,,2000.0,,430.0,4.0,3.0,8.0,,1.0,15.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--7118501,J De Amenabar 1500,200000.0,181.8181818181818,2500.0,55.0,1.0,1.0,2.0,,,,Excelente
https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-2-ambientes--14330031,Arce  al 800,450000.0,409.09090909090907,40000.0,42.0,1.0,1.0,2.0,1.0,,0.0,Bueno
https://www.argenprop.com/galpon-en-alquiler-en-parque-liceo-1-ambiente--11663182,Juan B Justo  8500,4800000.0,4363.636363636364,,4.0,,2.0,,,,,Bueno
https://www.argenprop.com/casa-en-alquiler-en-san-marco-4-ambientes--13367070,Casa 4 ambientes en alquiler anual en San Marco Villanueva,,1300.0,,150.0,3.0,2.0,4.0,4.0,1.0,0.0,Muy Bueno
https://www.argenprop.com/departamento-en-alquiler-en-palermo-6-ambientes--14371900,Libertador  al 4400,,6000.0,780000.0,377.0,4.0,4.0,6.0,4.0,,20.0,Bueno
https://www.argenprop.com/casa-en-alquiler-en-jockey-6-ambientes--12777155,Chubut al 1700,,4500.0,,380.0,4.0,3.0,6.0,3.0,980.0,40.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-martinez-3-ambientes--14397874,Av. Libertador 13670 - 1º,,1200.0,60000.0,93.0,2.0,2.0,3.0,2.0,,5.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-nordelta-3-ambientes--14120232,Miradores de la Bahia al 100,600000.0,545.4545454545455,68000.0,80.0,2.0,3.0,3.0,1.0,,10.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--12061331,Juncal 700,,5000.0,90000.0,372.0,4.0,5.0,5.0,1.0,,65.0,Muy Bueno
https://www.argenprop.com/casa-en-alquiler-en-pilar-5-ambientes--12064355,Casa Estilo Campo Barrio Freixas Pilar,,5000.0,,200.0,4.0,3.0,5.0,2.0,4.0,0.0,Bueno
https://www.argenprop.com/casa-en-alquiler-en-nordelta-5-ambientes--13340086,Sauces Lote interno,,2200.0,,213.0,3.0,3.0,5.0,2.0,808.0,15.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--14369456,O'Higgins  al 1600,,2800.0,110000.0,169.0,3.0,3.0,4.0,1.0,,60.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-martinez-3-ambientes--11700715,Sarmiento y Rawson,,1378.0,50000.0,100.0,2.0,2.0,3.0,,,0.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--14333672,Avenida Juramento 2700,,250.0,15000.0,23.0,,1.0,0.0,,,43.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--14433844,3 de febrero al 1200,,1800.0,160000.0,115.0,2.0,2.0,4.0,1.0,,30.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-acassuso-4-ambientes--8051021,Av. Libertador al 14500,,3500.0,,200.0,3.0,2.0,4.0,2.0,,0.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-nueva-cordoba-2-ambientes--12658045,brasil al 100,130000.0,118.18181818181819,7500.0,,1.0,1.0,2.0,,,30.0,Bueno
