URL,Ubicación,Precio ARS,Precio USD,Sup. cubierta,Dormitorios,Antigüedad,Baños,Ambientes,Cocheras,Toilettes,Sup. terreno,Expensas,Estado,Disposición,Orientación,Tipo de local,Sup. total,Plantas,En Edificio,Antiguedad,Apto profesional,Seguridad,Permite mascota,Tipo de Baño,Longitud del frente,Longitud del fondo,Superficie Total,Sup. descubierta,Longitud del Frente,Longitud del Fondo,Habitaciones,FOT,Altura Techo,Agua corriente,Tipo de cochera,Tipo de cobertura,Tipo de acceso,Tipo de Terreno,Sup. Total,Tipo de coche,Galería/Shopping,Toilletes,Superficie cubierta,Descripción,Cantidad baños,Sup. Cubierta,Pileta
https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-2-ambientes--13339025,"Tres Arroyos 100, Piso 2",,,,1 dormitorio,,1 baño,2 ambientes,,,,No se encontraron expensas,Muy Bueno,,,,,,,50 años,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/local-en-alquiler-en-caballito-1-ambiente--14277387,Hidalgo 500,,,,,,,,,,,+ $16.000 expensas,,,,,35  m² Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--14423122,Mendoza 2800,,700,67  m² Cubierta,1 dormitorio,,1 baño,2 ambientes,1 cocheras,,,+ $27.000 expensas,,,,,,,,2 años,Apto profesi.,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-4-ambientes--13134806,Ortega y Gasset 1900,,1,92  m² Cubierta,3 dormitorios,,3 baños,4 ambientes,1 cocheras,1 toilettes,,+ $145.000 expensas,,,Oeste,,,,,10 años,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-rosario-11-ambientes--14420394,Cordoba al 2600,,,418  m² Cubierta,9 dormitorios,70 años,5 baños,11 ambientes,,,277  m² Terreno,No se encontraron expensas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-caballito-norte-2-ambientes--14387990,AV GAONA  1200,,550,55  m² Cubierta,1 dormitorio,,2 baños,2 ambientes,,,,+ $34.000 expensas,,,,,,,,5 años,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-centro-5-ambientes--14389710,Urquiza 1895,,,114  m² Cubierta,4 dormitorios,60 años,1 baño,5 ambientes,,,,No se encontraron expensas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-san-cristobal-2-ambientes--14247475,Danel 1400,,360,50  m² Cubierta,1 dormitorio,,1 baño,2 ambientes,,,,No se encontraron expensas,,,,,,,,A Estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-nordelta-4-ambientes--14100750,"Homes 3, El Palmar Jc433228 100",,680,125  m² Cubierta,3 dormitorios,,2 baños,4 ambientes,1 cocheras,,,+ $50.000 expensas,Excelente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/local-en-alquiler-en-caballito--14230364,DIAZ VELEZ  N°4323,,10,,,A Estrenar,,,,,,No se encontraron expensas,,,,,1.170  m² Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/local-en-alquiler-en-caballito--14156889,Acoyte  1200,,,,,,,,,,,No se encontraron expensas,Muy Bueno,,,,45  m² Total,,En edificio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-caballito-4-ambientes--13040213,ARANGUREN JUAN F. DR. 400,,500,130  m² Cubierta,3 dormitorios,,2 baños,4 ambientes,,,,+ $102.000 expensas,Muy Bueno,Frente,,,,,,30 años,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano--11674894,"Cnel J Moldes 2100, Piso 5",,,56  m² Cubierta,,,,,,,,+ $12.000 expensas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-general-jose-de-san-martin-2-ambientes--14377549,Laprida 3300,,,47  m² Cubierta,1 dormitorio,50 años,1 baño,2 ambientes,,,,No se encontraron expensas,Bueno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-lomas-de-san-isidro--12678253,Alto Peru 1000,,4,590  m² Cubierta,5 dormitorios,,,,,,800  m² Terreno,No se encontraron expensas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--13015322,Beruti 2800,,1,84  m² Cubierta,2 dormitorios,,2 baños,3 ambientes,1 cocheras,1 toilettes,,No se encontraron expensas,,,Este,,,,,17 años,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/oficina-en-alquiler-en-recoleta-6-ambientes--11611626,"Callao 1000, Piso 7",,8,,,A Estrenar,3 baños,6 ambientes,2 cocheras,,,No se encontraron expensas,Excelente,,Noroeste,,,,,,,Con seguridad,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-caballito-3-ambientes--14263018,"Av Alberdi 1400, Piso 2",,,70  m² Cubierta,2 dormitorios,,2 baños,3 ambientes,1 cocheras,,,+ $75.000 expensas,Excelente,Contra frente,,,,,,19 años,,,Per. mascota,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-3-ambientes--14423732,LUIS MARIA CAMPOS al 1100,,550,40  m² Cubierta,2 dormitorios,,1 baño,3 ambientes,,,,No se encontraron expensas,,,,,,,,40 años,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-martinez-vias-santa-fe-4-ambientes--14354366,Arenales al 1800,,1,110  m² Cubierta,3 dormitorios,,3 baños,4 ambientes,1 cocheras,,,+ $90.000 expensas,,,,,,,,32 años,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--14420078,Av. J. B. ALBERDI 329 6ºB (Viel - Gaspar Campos),,,48  m² Cubierta,1 dormitorio,,1 baño,2 ambientes,,,,+ $22.000 expensas,,,,,,,,7 años,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/galpon-en-alquiler-en-san-vicente-1-ambiente--13572233,Agustin Garzon 2900,,,323  m² Cubierta,,,1 baño,,,,,No se encontraron expensas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-belgrano-r--14356221,Av Forest al 1500,,5,350  m² Cubierta,4 dormitorios,A Estrenar,4 baños,,2 cocheras,,,No se encontraron expensas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
